,State,Proportion Some College,Proportion No College,Proportion Not In Labor Force,Proportion Employed,Proportion Unemployed
0,Alabama,0.3783125957321807,0.6216874042678193,0.38727207872594893,0.4144652636438029,0.02652174825321555
1,Alaska,0.33499633162142334,0.6650036683785767,0.26837857666911225,0.4296404988994864,0.054438738077769624
2,Arizona,0.42346267434720314,0.5765373256527969,0.360288312523758,0.42007076230299134,0.029372203865610104
3,Arkansas,0.3376803270380756,0.6623196729619244,0.37589107740126354,0.41619649312476775,0.021250717929659785
4,California,0.44547714973340247,0.5545228502665975,0.3232252316938583,0.4609730477216217,0.030513117130054383
5,Colorado,0.49790181598284805,0.502098184017152,0.28720382620805923,0.5018049879972879,0.02279599054442836
6,Connecticut,0.48161651288667023,0.5183834871133298,0.30490506772863674,0.5013601817314973,0.03107384244327902
7,Delaware,0.4332243885946129,0.5667756114053871,0.35275555054660207,0.46703482474923924,0.027273751831398626
8,District of Columbia,0.5991573879024977,0.40084261209750227,0.27414986458019863,0.5496539271742401,0.03806801083358411
9,Florida,0.4369652691690207,0.5630347308309793,0.3838986323084114,0.43721929806734816,0.025636596419208648
10,Georgia,0.4059083863599282,0.5940916136400718,0.3338330070158264,0.44998164464023493,0.026656061347691305
11,Hawaii,0.46086895486769147,0.5391310451323086,0.30322173089071386,0.5004562364006457,0.019091738611637536
12,Idaho,0.3870886869319962,0.6129113130680037,0.32485114384205577,0.4337198370416797,0.018865559385772484
13,Illinois,0.42957556952206055,0.5704244304779394,0.3112305475960549,0.4776386404293381,0.02909747178115155
14,Indiana,0.3578370710210981,0.6421629289789019,0.32415260632036463,0.4670399323896049,0.02146026380127373
15,Iowa,0.3870616084221018,0.6129383915778982,0.29804397931850746,0.4946427459041924,0.017193048028405905
16,Kansas,0.4136061559986009,0.586393844001399,0.30402238544945787,0.4812172088142707,0.02105631339629241
17,Kentucky,0.3651847381479246,0.6348152618520754,0.36120610652897917,0.4306533449563021,0.023022418918616866
18,Louisiana,0.3589843570806,0.6410156429193999,0.3665535116289738,0.42710674801596404,0.028487545300243132
19,Maine,0.4278491171749599,0.5721508828250401,0.3614767255216693,0.47102728731942217,0.018298555377207062
20,Maryland,0.4717041475895502,0.5282958524104497,0.2903481012658228,0.5058241314301104,0.025417452194990572
21,Massachusetts,0.5012007059572375,0.49879929404276246,0.2999594942568643,0.5124989150247374,0.02721117958510546
22,Michigan,0.40500280197666716,0.5949971980233328,0.3539966376279994,0.44937592337867444,0.026379336695705333
23,Minnesota,0.4417998706458468,0.5582001293541532,0.28258338723089715,0.5091009886353137,0.01746281068095722
24,Mississippi,0.3673152556406541,0.6326847443593459,0.38097702339060235,0.40122817912095493,0.030566480369833712
25,Missouri,0.3819097911922872,0.6180902088077128,0.3369991763964924,0.4578428047736705,0.021252200313292315
26,Montana,0.43086310402519434,0.5691368959748057,0.3289046353705344,0.4597972640488141,0.022241905324279106
27,Nebraska,0.418940947573224,0.581059052426776,0.276226534153652,0.5067571120576326,0.016774464952411
28,Nevada,0.3971046362470222,0.6028953637529778,0.3268096023456111,0.4596298332417079,0.030492944841488
29,New Hampshire,0.48927613941018766,0.5107238605898123,0.2974381888591004,0.5300863866547513,0.019511468573130773
30,New Jersey,0.45913679120979844,0.5408632087902016,0.30553741449833294,0.4884221863220248,0.02859794452273743
31,New Mexico,0.40209863588667366,0.5979013641133263,0.3699370409233998,0.41002098635886675,0.03268625393494229
32,New York,0.4441061885530127,0.5558938114469874,0.3328233998286623,0.4685218047566597,0.027546607922326927
33,North Carolina,0.43157355717097073,0.5684264428290293,0.3452146672557131,0.44869271858307563,0.02637656130768304
34,North Dakota,0.4263733468972533,0.5736266531027467,0.27733977619532046,0.5128433367243134,0.01564089521871821
35,Ohio,0.3810910701207569,0.6189089298792431,0.33129800895883366,0.46622553778549897,0.025411748675761757
36,Oklahoma,0.34387661390524554,0.6561233860947545,0.3476581492085787,0.4220463508184323,0.024769056236832152
37,Oregon,0.4697658248280315,0.5302341751719685,0.3469169832873923,0.4588393056693735,0.026149146986515683
38,Pennsylvania,0.3798617113223855,0.6201382886776146,0.340755873340143,0.46670071501532173,0.025001964327807026
39,Rhode Island,0.4661443219191333,0.5338556780808668,0.3335267943509383,0.4969046237183208,0.02379570516540917
40,South Carolina,0.4105567606652205,0.5894432393347795,0.3600661088730503,0.44528457803945876,0.026071686809213925
41,South Dakota,0.38968481375358166,0.6103151862464183,0.27197707736389687,0.48939828080229225,0.019484240687679084
42,Tennessee,0.3734355277765105,0.6265644722234895,0.3557491978040361,0.44465228036558846,0.023328314856213027
43,Texas,0.39384335766869294,0.6061566423313071,0.3138268625714024,0.4550928612884504,0.02473500931667532
44,Utah,0.4239305350677216,0.5760694649322784,0.2591859997317956,0.45678557060480085,0.02001475124044522
45,Vermont,0.45796287630634847,0.5420371236936515,0.31243175791608174,0.5189518015910154,0.01731399157697707
46,Virginia,0.4691427477078496,0.5308572522921504,0.3087400952768535,0.4908313982716109,0.022107581452134154
47,Washington,0.47048340079853,0.52951659920147,0.323625713219955,0.46845253719796087,0.02459140958512358
48,West Virginia,0.3359204869060249,0.6640795130939751,0.4115807694455302,0.39516444245909876,0.029649896699983247
49,Wisconsin,0.39543103006710034,0.6045689699328997,0.3071420034489235,0.49599617545117725,0.018678823268281856
50,Wyoming,0.4143103448275862,0.5856896551724138,0.29637931034482756,0.47551724137931034,0.028275862068965516
